,Match_ID,Team_ID,Tack_Att,Tack_Succ,TS_Short,TS_Med,TS_Long
0,2019282,52747,6,1,1,0,0
1,2019282,52280,13,7,5,2,0
2,2019283,59856,8,5,3,2,0
3,2019283,2603104,6,4,2,2,0
4,2019284,52723,3,1,1,0,0
5,2019284,50136,5,2,2,0,0
6,2019285,50147,8,3,2,1,0
7,2019285,50157,9,9,7,2,0
8,2019286,50080,10,5,3,2,0
9,2019286,50050,5,1,1,0,0
10,2019287,52919,9,6,1,3,0
11,2019287,52757,9,5,2,3,0
12,2019288,50037,5,3,3,0,0
13,2019288,64500,5,3,1,2,0
14,2019289,50062,9,3,3,0,0
15,2019289,50124,13,6,3,3,0
16,2019290,50109,11,7,5,2,0
17,2019290,54266,16,5,5,0,0
18,2019291,1652,10,3,3,0,0
19,2019291,50023,12,6,4,2,0
20,2019292,50051,15,5,4,0,1
21,2019292,50149,9,5,4,1,0
22,2019293,50146,4,3,2,1,0
23,2019293,52758,6,2,1,1,0
24,2019294,50043,10,3,2,1,0
25,2019294,53577,3,1,0,0,1
26,2019295,50064,5,1,1,0,0
27,2019295,52709,6,1,0,1,0
28,2019296,5312,10,3,2,1,0
29,2019296,50164,12,6,5,1,0
30,2019297,50139,7,2,2,0,0
31,2019297,52714,10,3,3,0,0
32,2019298,50023,9,5,5,0,0
33,2019298,50109,18,13,9,4,0
34,2019299,54266,19,7,5,2,0
35,2019299,1652,6,3,3,0,0
36,2019300,52758,5,2,1,1,0
37,2019300,50051,8,5,0,5,0
38,2019301,50149,5,2,2,0,0
39,2019301,50146,10,5,4,1,0
40,2019302,52709,3,1,1,0,0
41,2019302,50043,8,6,2,4,0
42,2019303,53577,5,1,1,0,0
43,2019303,50064,6,0,0,0,0
44,2019304,52714,17,4,2,2,0
45,2019304,5312,8,2,2,0,0
46,2019305,50164,10,4,4,0,0
47,2019305,50139,7,5,4,1,0
48,2019306,2603104,7,2,1,1,0
49,2019306,52747,9,3,3,0,0
50,2019307,52280,3,1,1,0,0
51,2019307,59856,13,7,5,2,0
52,2019308,50157,8,3,1,2,0
53,2019308,52723,12,9,6,3,0
54,2019309,50136,3,2,1,1,0
55,2019309,50147,4,2,2,0,0
56,2019310,52757,9,5,0,5,0
57,2019310,50080,18,5,2,3,0
58,2019311,50050,7,3,3,0,0
59,2019311,52919,10,4,3,1,0
60,2019312,50124,11,7,4,3,0
61,2019312,50037,13,1,1,0,0
62,2019313,64500,3,0,0,0,0
63,2019313,50062,8,2,2,0,0
64,2019314,54266,18,8,7,1,0
65,2019314,50023,12,7,3,3,0
66,2019315,50109,15,8,8,0,0
67,2019315,1652,11,5,4,1,0
68,2019316,50149,13,4,4,0,0
69,2019316,52758,11,5,4,1,0
70,2019317,50051,4,1,1,0,0
71,2019317,50146,12,6,4,2,0
72,2019318,53577,5,3,2,1,0
73,2019318,52709,4,2,2,0,0
74,2019319,50043,10,4,2,1,1
75,2019319,50064,2,1,1,0,0
76,2019320,50164,12,3,3,0,0
77,2019320,52714,7,3,2,1,0
78,2019321,5312,10,5,4,1,0
79,2019321,50139,8,5,4,1,0
80,2019322,52280,13,8,6,2,0
81,2019322,2603104,13,6,3,3,0
82,2019323,52747,12,7,4,3,0
83,2019323,59856,9,2,0,2,0
84,2019324,50136,9,3,3,0,0
85,2019324,50157,8,3,1,2,0
86,2019325,52723,5,2,1,1,0
87,2019325,50147,3,0,0,0,0
88,2019326,50050,11,5,2,3,0
89,2019326,52757,8,2,2,0,0
90,2019327,50080,10,2,1,1,0
91,2019327,52919,12,5,5,0,0
92,2019328,64500,10,3,2,1,0
93,2019328,50124,1,0,0,0,0
94,2019329,50037,4,2,2,0,0
95,2019329,50062,4,1,1,0,0
96,2019330,2603104,5,0,0,0,0
97,2019330,52280,11,5,3,2,0
98,2019331,59856,13,4,3,1,0
99,2019331,52747,6,4,3,1,0
100,2019332,50157,12,5,5,0,0
101,2019332,50136,6,2,1,1,0
102,2019333,50147,3,1,1,0,0
103,2019333,52723,14,5,1,3,1
104,2019334,52757,9,7,5,2,0
105,2019334,50050,8,4,2,2,0
106,2019335,52919,8,3,3,0,0
107,2019335,50080,13,5,5,0,0
108,2019336,50124,3,1,0,1,0
109,2019336,64500,12,3,2,1,0
110,2019337,50062,7,2,2,0,0
111,2019337,50037,6,3,3,0,0
112,2019338,50023,7,7,6,1,0
113,2019338,54266,22,11,4,5,2
114,2019339,1652,9,5,4,1,0
115,2019339,50109,12,5,3,2,0
116,2019340,52758,15,9,7,2,0
117,2019340,50149,11,4,4,0,0
118,2019341,50146,4,1,1,0,0
119,2019341,50051,7,1,1,0,0
120,2019342,52709,10,6,6,0,0
121,2019342,53577,2,1,1,0,0
122,2019343,50064,6,3,3,0,0
123,2019343,50043,4,1,1,0,0
124,2019344,52714,6,3,3,0,0
125,2019344,50164,16,4,4,0,0
126,2019345,50139,18,6,4,2,0
127,2019345,5312,5,1,1,0,0
128,2019346,54266,12,5,2,3,0
129,2019346,50109,7,3,2,1,0
130,2019347,50023,7,5,4,1,0
131,2019347,1652,6,2,1,1,0
132,2019348,50149,13,1,1,0,0
133,2019348,50051,9,3,2,1,0
134,2019349,52758,10,3,2,1,0
135,2019349,50146,9,0,0,0,0
136,2019350,53577,7,4,3,1,0
137,2019350,50043,8,3,2,1,0
138,2019351,52709,10,3,2,1,0
139,2019351,50064,8,3,3,0,0
140,2019352,50164,19,9,5,4,0
141,2019352,5312,5,2,1,1,0
142,2019353,52714,12,8,6,2,0
143,2019353,50139,5,3,3,0,0
144,2019354,52280,15,8,6,2,0
145,2019354,52747,13,7,4,3,0
146,2019355,2603104,17,5,4,1,0
147,2019355,59856,7,4,0,4,0
