,Match_ID,Team_ID,Corners,Corner_Short,Corner_Cross,Corner_Medium,Corner_Long,Corner_Unsuccessful,Corner_Shot,Corner_OnTarget
0,2019282,52747,11,1,7,5,5,7,1,1
1,2019282,52280,7,0,7,2,5,7,0,0
2,2019283,59856,1,0,1,1,0,1,0,0
3,2019283,2603104,0,0,0,0,0,0,0,0
4,2019284,52723,8,0,4,3,5,4,0,0
5,2019284,50136,6,0,4,1,4,4,0,0
6,2019285,50147,6,0,5,1,5,5,0,0
7,2019285,50157,5,0,3,4,1,3,0,0
8,2019286,50080,9,2,5,4,3,5,0,0
9,2019286,50050,2,0,2,0,2,2,0,0
10,2019287,52919,6,1,2,2,3,2,0,0
11,2019287,52757,6,0,0,2,4,0,0,0
12,2019288,50037,8,1,6,2,5,6,0,0
13,2019288,64500,2,0,2,2,0,2,0,0
14,2019289,50062,2,1,2,0,1,1,0,0
15,2019289,50124,4,0,4,1,3,4,0,0
16,2019290,50109,4,0,3,3,1,3,0,0
17,2019290,54266,5,0,5,2,3,5,0,0
18,2019291,1652,11,0,6,9,2,6,0,0
19,2019291,50023,0,0,0,0,0,0,0,0
20,2019292,50051,5,0,5,2,3,3,0,0
21,2019292,50149,2,0,1,1,1,1,0,0
22,2019293,50146,8,2,6,2,4,6,0,0
23,2019293,52758,7,4,3,1,2,3,0,0
24,2019294,50043,5,0,5,1,4,5,0,0
25,2019294,53577,4,0,4,1,3,4,0,0
26,2019295,50064,6,0,5,1,5,5,0,0
27,2019295,52709,3,0,3,0,3,3,0,0
28,2019296,5312,7,1,5,0,6,5,0,0
29,2019296,50164,6,0,5,3,3,5,0,0
30,2019297,50139,4,0,4,1,3,4,0,0
31,2019297,52714,2,0,2,0,2,2,0,0
32,2019298,50023,6,0,5,1,5,5,0,0
33,2019298,50109,7,0,4,5,2,4,0,0
34,2019299,54266,4,1,3,0,3,3,0,0
35,2019299,1652,8,0,7,4,4,7,0,0
36,2019300,52758,6,0,5,1,5,5,0,0
37,2019300,50051,6,1,4,1,4,4,0,0
38,2019301,50149,8,0,7,4,4,7,0,0
39,2019301,50146,3,0,2,1,1,2,0,0
40,2019302,52709,7,0,7,1,6,7,0,0
41,2019302,50043,1,0,1,0,1,1,0,0
42,2019303,53577,2,0,2,0,2,2,0,0
43,2019303,50064,6,4,2,0,2,2,0,0
44,2019304,52714,3,0,3,3,0,3,0,0
45,2019304,5312,6,0,6,2,4,6,0,0
46,2019305,50164,0,0,0,0,0,0,0,0
47,2019305,50139,6,0,5,1,5,5,0,0
48,2019306,2603104,0,0,0,0,0,0,0,0
49,2019306,52747,4,1,2,0,3,2,0,0
50,2019307,52280,8,0,7,2,6,7,0,0
51,2019307,59856,7,1,7,3,3,7,0,0
